dia;banda_nm;genotipo_a;condicao_a;genotipo_b;condicao_b;diferenca_media;q_tukey;q_critico_tukey;significativo_tukey;F_anova;p_anova
D02;573;BR16;IRRIG;CD202;NIRRIG;-0.015392904708789734;1.271253458041534;4.0724590126981886;False;12.317471717390507;2.512678402456633e-10
D02;574;BR16;IRRIG;CD202;NIRRIG;-0.013693413033259105;1.1301476620400468;4.0724590126981886;False;11.686421392346245;7.822986884126152e-10
D02;575;BR16;IRRIG;CD202;NIRRIG;-0.012047235756139196;0.9935913890429747;4.0724590126981886;False;11.107044695225865;2.2422164863505846e-09
D02;576;BR16;IRRIG;CD202;NIRRIG;-0.010489387819930807;0.8644546363117362;4.0724590126981886;False;10.580555820089032;5.887435896502181e-09
D02;577;BR16;IRRIG;CD202;NIRRIG;-0.009067545412089206;0.7466911215733648;4.0724590126981886;False;10.104334870593975;1.419545407636766e-08
D02;578;BR16;IRRIG;CD202;NIRRIG;-0.007670480932178814;0.63117064765918;4.0724590126981886;False;9.670591934193434;3.182252327372242e-08
D02;579;BR16;IRRIG;CD202;NIRRIG;-0.00634146113992573;0.5214402692367087;4.0724590126981886;False;9.271011542142165;6.725886279411644e-08
D02;580;BR16;IRRIG;CD202;NIRRIG;-0.0050331523037308035;0.41364205732140297;4.0724590126981886;False;8.909988602633895;1.3275686889385113e-07
D02;581;BR16;IRRIG;CD202;NIRRIG;-0.0037681929606634412;0.30956897448924314;4.0724590126981886;False;8.579778447717135;2.480318549784112e-07
D02;582;BR16;IRRIG;CD202;NIRRIG;-0.002576866261870814;0.21159270126949278;4.0724590126981886;False;8.272887678303283;4.4454369984267666e-07
D02;583;BR16;IRRIG;CD202;NIRRIG;-0.0014520875687962231;0.11916081273830557;4.0724590126981886;False;7.98322758277248;7.727906865344885e-07
