dia;genotipo;banda_nm;n_irrig;n_nirrig;H;p_valor;q_fdr;epsilon2;delta_cliff;significativa
D02;BR16;503;32;32;2.4259615384615385;0.11933999451563683;0.3848527181628477;0.02299937965260546;-0.2265625;False
D02;BR16;504;32;32;2.384314903846154;0.12255861128940898;0.39276204961652783;0.0223276597394541;-0.224609375;False
D02;BR16;505;32;32;2.3430288461538464;0.12584465576857923;0.4007878710890621;0.021661755583126555;-0.22265625;False
D02;BR16;506;32;32;2.2213341346153848;0.1361153922031494;0.4268695250896932;0.019698937655086853;-0.216796875;False
D02;BR16;507;32;32;2.1814903846153846;0.1396791414299927;0.4367102424891997;0.01905629652605459;-0.21484375;False
D02;BR16;508;32;32;2.1028846153846157;0.14702154023114192;0.45208572565827904;0.017788461538461545;-0.2109375;False
D02;BR16;509;32;32;1.9500000000000002;0.16258685072635085;0.48119138649313936;0.015322580645161293;-0.203125;False
D02;BR16;510;32;32;1.7314903846153846;0.1882206735379792;0.5384108806504816;0.01179823200992556;-0.19140625;False
D02;BR16;511;32;32;1.6963341346153846;0.19276809100533124;0.5466615402809282;0.011231195719602977;-0.189453125;False
D02;BR16;512;32;32;1.6271033653846154;0.20210416237849738;0.5466615402809282;0.01011457040942928;-0.185546875;False
D02;BR16;513;32;32;1.5259615384615386;0.2167195591346799;0.5466615402809282;0.008483250620347396;-0.1796875;False
D02;BR16;514;32;32;1.3961538461538463;0.23736860507755797;0.5507273857625242;0.006389578163771715;-0.171875;False
D02;BR16;515;32;32;1.3025841346153846;0.25374174069286237;0.5632297729015808;0.004880389267990074;-0.166015625;False
D02;BR16;516;32;32;1.1828725961538462;0.27677196706452223;0.575308470557653;0.0029495580024813907;-0.158203125;False
D02;BR16;517;32;32;0.9872596153846155;0.32041307202417346;0.6118875332603163;0.0;-0.14453125;False
D02;BR16;518;32;32;0.76171875;0.38279117892196024;0.6619769881694271;0.0;-0.126953125;False
D02;BR16;519;32;32;0.5257211538461539;0.4684113514129006;0.7339279463314431;0.0;-0.10546875;False
D02;BR16;520;32;32;0.43287259615384616;0.5105827650253674;0.7550146006251106;0.0;-0.095703125;False
D02;BR16;521;32;32;0.17325721153846155;0.6772330970551881;0.8752394972023886;0.0;-0.060546875;False
D02;BR16;522;32;32;0.07950721153846155;0.7779663362156717;0.9143890862913138;0.0;-0.041015625;False
D02;BR16;523;32;32;0.07211538461538462;0.7882813208580621;0.9170533120135482;0.0;-0.0390625;False
D02;BR16;524;32;32;0.04056490384615385;0.8403801010875871;0.9393022274281423;0.0;-0.029296875;False
D02;BR16;525;32;32;0.004507211538461539;0.946473618223126;0.9828948815066489;0.0;-0.009765625;False
D02;BR16;526;32;32;0.001622596153846154;0.967868733231017;0.9905682494295488;0.0;0.005859375;False
D02;BR16;527;32;32;0.014603365384615385;0.9038142935504847;0.9745326384911146;0.0;0.017578125;False
D02;BR16;528;32;32;0.05841346153846154;0.8090213318881005;0.9254337711670353;0.0;0.03515625;False
D02;BR16;529;32;32;0.09537259615384616;0.7574550012076919;0.9074417099748692;0.0;0.044921875;False
D02;BR16;530;32;32;0.12187500000000001;0.727009731456113;0.8928724306685556;0.0;0.05078125;False
D02;BR16;531;32;32;0.10384615384615385;0.7472620257953904;0.8994333420811887;0.0;0.046875;False
