seed;fold;dia;classe_real_nirrig;classe_predita_nirrig;score_plsda
43;1;D02;0;1;0.5124097065628069
43;1;D02;1;1;0.5923625735196326
43;1;D02;1;0;0.4942216716362724
43;1;D02;0;0;0.4728935917550239
43;1;D02;0;1;0.6323102790162157
43;1;D02;1;1;0.5917231273200994
43;1;D03;1;1;0.8800443670697848
43;1;D03;1;1;1.083770039775271
43;1;D03;1;1;1.0893126324683826
43;1;D03;0;0;0.40488825854297417
43;1;D03;0;0;0.26119929722124074
43;1;D03;1;1;0.6789896711934538
43;1;D03;1;1;0.9391559709123112
43;1;D03;0;0;0.2596741182418435
43;1;D03;0;0;0.1761403150374088
43;1;D03;0;0;0.16797549242760035
43;1;D03;1;1;1.1063712190259956
43;1;D03;1;1;0.7276997119129457
43;1;D04;0;0;-0.0965791178358586
43;1;D04;0;0;0.0025441568684476668
43;1;D04;0;0;-0.03833322714085807
43;1;D04;1;1;0.5033022341464822
43;1;D04;0;0;-0.06926432108992964
43;1;D04;1;1;0.641803627219256
43;1;D04;1;1;0.742674139339109
43;1;D04;0;0;-0.11110868857767642
43;1;D04;0;0;-0.031868199953242304
43;1;D04;0;0;-0.06834645628572367
43;1;D04;0;0;-0.1087345228599439
43;1;D04;1;0;0.10363831558004177
43;1;D04;1;0;0.07093607079139497
43;1;D04;1;0;0.36301188938766793
43;1;D04;1;0;0.3538683329585595
43;1;D04;1;0;0.3520592683026612
43;1;D04;0;0;0.0379321091586986
43;1;D04;0;0;-0.07830499311973826
43;1;D04;0;0;-0.12678496665382466
43;1;D04;1;1;0.5619260199516845
43;1;D04;1;1;0.5695243302009289
43;1;D05;1;1;0.6960293397707396
43;1;D05;1;1;0.6973111522868675
43;1;D05;1;1;0.7942181117352294
43;1;D05;1;1;0.7996209855063199
43;1;D05;1;1;0.8568363207623763
43;1;D05;1;1;0.5034651355606635
43;1;D05;0;0;-0.18796544381326352
43;1;D05;1;1;0.9815182091520303
43;1;D05;1;1;1.111239411909713
43;1;D05;0;0;-0.4673166756921958
43;1;D05;0;0;-0.5275398909250901
43;1;D05;1;1;1.1607293816264523
43;1;D06;0;0;-0.11170633922908757
43;1;D06;0;0;-0.1513028073089977
43;1;D06;0;0;-0.15218462470470595
43;1;D06;0;0;-0.16230895947264823
43;1;D06;0;0;-0.1716894380367271
43;1;D06;0;0;0.192336189220161
43;1;D06;1;1;0.7701941693360987
43;1;D06;0;0;-0.06502294959247701
43;1;D06;0;0;-0.15310450686691313
43;1;D06;1;1;0.7641282983243709
43;1;D06;1;1;0.7987774817459832
43;1;D06;1;1;0.7175733805466479
43;1;D06;0;1;0.6217334206105595
43;1;D06;0;1;0.5266730629411852
43;1;D06;0;0;0.44399350239593716
43;1;D06;1;1;0.9033507251382789
43;1;D06;1;1;0.9196826658679523
43;1;D06;1;1;1.275520664429358
43;1;D09;0;0;0.24972331296517514
43;1;D09;0;1;0.6645503736374654
43;1;D09;0;1;0.6385725407112643
43;1;D09;1;1;0.9502471036666864
43;1;D09;1;1;0.9413015689762733
43;1;D09;1;1;0.8661799576817447
43;1;D09;1;1;0.7739530727374335
43;1;D09;1;1;0.8157793263959445
43;1;D09;1;1;0.6200236617763742
43;1;D09;0;0;0.4491415968737008
43;1;D09;0;0;0.3504029067557233
43;1;D09;1;1;0.7750006119504637
43;1;D09;1;1;0.7779140220496885
43;1;D09;1;1;0.7730690377456257
43;1;D09;0;1;0.5931562900094721
43;1;D09;0;0;0.41111002622865156
43;1;D09;1;1;0.627292800366122
43;1;D10;0;0;0.25803811100155544
43;1;D10;0;0;0.12641549311289785
43;1;D10;1;1;0.7149774711470585
43;1;D10;1;1;0.7178536125754222
43;1;D10;1;1;0.7101846252567127
43;1;D10;0;1;0.5504062415663932
43;1;D10;1;1;0.8289931756201407
43;1;D10;0;0;0.15386934185814005
43;1;D10;1;1;0.6238832965793766
43;1;D10;1;1;0.6136467083758989
43;1;D10;1;1;0.8028421338022171
43;1;D10;0;1;0.5215741069294518
43;1;D10;0;1;0.5133609493942024
43;1;D10;0;1;0.7798374600578128
43;1;D10;0;1;0.7343889892126102
43;1;D10;1;1;0.6570623107060698
43;2;D02;1;0;0.44850416983305813
43;2;D02;1;1;0.500209019032292
43;2;D02;1;1;0.8972381324064821
43;2;D02;1;1;0.5569571220328612
43;2;D02;1;0;0.4100525737298949
43;2;D02;1;0;0.40523893639028974
43;2;D02;0;1;0.528981823249755
43;2;D02;0;1;0.5105305916156014
43;2;D02;0;0;0.44973933580608993
43;2;D02;0;0;0.45439151156805957
43;2;D02;1;0;0.4464636012118086
