dia;banda_nm;F_anova;p_anova;eta2;significativo_anova
D09;1730;3.069426024096059;0.010913658790224446;0.07473749504790204;True
D09;1731;3.144006634672812;0.009456330151513828;0.07641469297312672;True
D09;1732;3.2072714832300027;0.008371516002450065;0.07783265835825254;True
D09;1733;3.2555227569493717;0.007627410775532878;0.07891119877764702;True
D09;1734;3.3049378253253288;0.00693295721004177;0.08001314126900752;True
D09;1735;3.35583526855206;0.006282889624803305;0.08114538726543181;True
D09;1736;3.4033953252985563;0.005730000966109149;0.08220087503835688;True
D09;1737;3.450664224897778;0.005228173756430872;0.08324750132291246;True
D09;1738;3.497939182816333;0.00476977374185952;0.08429187693891016;True
D09;1739;3.5435850345736157;0.004364963597126656;0.08529800766170169;True
D09;1740;3.5922227204774337;0.003970998305556153;0.08636765446797932;True
D09;1741;3.6486774124226944;0.0035576927971072885;0.0876060811317478;True
D09;1742;3.7121169285353526;0.003143940038195766;0.08899373136336518;True
D09;1743;3.7842914751410013;0.002730979812443528;0.09056732426329196;True
D09;1744;3.8740468816370153;0.002291782713210832;0.092516658172246;True
D09;1745;3.978367911648529;0.0018687736501368747;0.09477185773448273;True
D09;1746;4.091351857792321;0.0014978222875941909;0.09720172142760233;True
D09;1747;4.2117930083973665;0.0011827807635908772;0.0997776381486448;True
D09;1748;4.332737262494175;0.0009328670312312323;0.10234956543509127;True
D09;1749;4.451724127417635;0.0007384572588240444;0.10486556715708206;True
D09;1750;4.568244805310679;0.0005873225135530391;0.10731578965033484;True
D09;1751;4.678755764617778;0.0004726267295844432;0.10962727663435386;True
D09;1752;4.784746725975412;0.0003837030539913686;0.1118330033976923;True
D09;1753;4.887051277954768;0.0003137674875216065;0.11395167381131796;True
D09;1754;4.981495528303639;0.00026057402453041276;0.11589860862387366;True
D09;1755;5.06956313852845;0.00021913103407318998;0.1177063979549262;True
D09;1756;5.1586026266923835;0.00018393057387020478;0.11952663693290969;True
D09;1757;5.2485210016891255;0.0001541223568460328;0.12135723673612187;True
